I:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\Demo\bin\aaa.wav 79: 白桦林, 12.335823; 21: 北京的金山上, 15.440784; 52: 我想我是海, 16.751549; 1: LOVE_STORY_爱情故事, 17.211792; 89: 莫斯科郊外的晚上, 18.506418; 31: 后来, 18.652439; 56: 敢问路在何方, 18.685301; 57: 新鸳鸯蝴蝶梦, 18.769497; 94: 青苹果乐园, 18.888712; 76: 特别的爱给特别的你, 18.926548; 9: 两只蝴蝶, 19.381277; 26: 千千阕歌, 19.648033; 85: 第一次, 20.512867; 32: 吻别, 20.548935; 96: 风雨无阻, 20.833082; 70: 爱之初体验, 21.059063; 62: 春天花会开, 21.118116; 11: 从头再来, 21.294115; 29: 同一首歌, 22.233061; 41: 天意, 25.267614; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423014; 47: 忘情水, 10.815362; 71: 爱如潮水, 11.204669; 74: 爱的奉献, 12.023997; 48: 恋曲1990, 12.237647; 37: 外婆的澎湖湾, 13.219611; 93: 铁血丹心, 13.596592; 96: 风雨无阻, 13.730836; 38: 大中国, 14.436769; 75: 牧羊曲, 14.479551; 31: 后来, 14.966363; 93: 铁血丹心, 15.215660; 42: 失恋阵线联盟, 15.243652; 56: 敢问路在何方, 16.625717; 5: 一千个伤心的理由, 17.177099; 32: 吻别, 17.207439; 5: 一千个伤心的理由, 17.348383; 39: 大海, 17.509253; 1: LOVE_STORY_爱情故事, 18.399651; 5: 一千个伤心的理由, 18.910065; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423072; 47: 忘情水, 10.815388; 71: 爱如潮水, 11.204656; 74: 爱的奉献, 12.023965; 48: 恋曲1990, 12.237624; 37: 外婆的澎湖湾, 13.219608; 93: 铁血丹心, 13.596583; 96: 风雨无阻, 13.730807; 38: 大中国, 14.436724; 75: 牧羊曲, 14.479515; 31: 后来, 14.966315; 93: 铁血丹心, 15.215631; 42: 失恋阵线联盟, 15.243639; 56: 敢问路在何方, 16.625711; 5: 一千个伤心的理由, 17.177065; 32: 吻别, 17.207413; 5: 一千个伤心的理由, 17.348356; 39: 大海, 17.509228; 1: LOVE_STORY_爱情故事, 18.399654; 5: 一千个伤心的理由, 18.910072; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423698; 47: 忘情水, 10.815611; 71: 爱如潮水, 11.204791; 74: 爱的奉献, 12.024350; 48: 恋曲1990, 12.237782; 37: 外婆的澎湖湾, 13.219614; 93: 铁血丹心, 13.596482; 96: 风雨无阻, 13.730803; 38: 大中国, 14.436790; 75: 牧羊曲, 14.479506; 31: 后来, 14.966243; 93: 铁血丹心, 15.215689; 42: 失恋阵线联盟, 15.244080; 56: 敢问路在何方, 16.626011; 5: 一千个伤心的理由, 17.177090; 32: 吻别, 17.206863; 5: 一千个伤心的理由, 17.348381; 39: 大海, 17.509010; 1: LOVE_STORY_爱情故事, 18.399677; 5: 一千个伤心的理由, 18.910080; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423698; 47: 忘情水, 10.815611; 71: 爱如潮水, 11.204791; 74: 爱的奉献, 12.024350; 48: 恋曲1990, 12.237782; 37: 外婆的澎湖湾, 13.219614; 93: 铁血丹心, 13.596482; 96: 风雨无阻, 13.730803; 38: 大中国, 14.436790; 75: 牧羊曲, 14.479506; 31: 后来, 14.966243; 93: 铁血丹心, 15.215689; 42: 失恋阵线联盟, 15.244080; 56: 敢问路在何方, 16.626011; 5: 一千个伤心的理由, 17.177090; 32: 吻别, 17.206863; 5: 一千个伤心的理由, 17.348381; 39: 大海, 17.509010; 1: LOVE_STORY_爱情故事, 18.399677; 5: 一千个伤心的理由, 18.910080; 
J:\project\MyProgram\AudioRetrieval\QBHRelated\SNDA_QBSH\build\0ef43554d_768.wav 73: 爱的代价, 5.423698; 47: 忘情水, 10.815611; 71: 爱如潮水, 11.204791; 74: 爱的奉献, 12.024350; 48: 恋曲1990, 12.237782; 37: 外婆的澎湖湾, 13.219614; 93: 铁血丹心, 13.596482; 96: 风雨无阻, 13.730803; 38: 大中国, 14.436790; 75: 牧羊曲, 14.479506; 31: 后来, 14.966243; 93: 铁血丹心, 15.215689; 42: 失恋阵线联盟, 15.244080; 56: 敢问路在何方, 16.626011; 5: 一千个伤心的理由, 17.177090; 32: 吻别, 17.206863; 5: 一千个伤心的理由, 17.348381; 39: 大海, 17.509010; 1: LOVE_STORY_爱情故事, 18.399677; 5: 一千个伤心的理由, 18.910080; 
